type	chrom	p_id	p_start	p_end	r_id	r_start	r_end	overlap_len	coverage_pred	coverage_ref
TP	NC_089036.1	NC_089037.1:25503029-25503173(25503030:25503173|tsd_l:16|tsd_s:25503030|tsd_e:25503174)-0.7686	5274685	5274778	SINE2-11_OS	5274686	5274817	93	0.9893617021276596	0.7045454545454546
TP	NC_089045.1	NC_089045.1:29500500-29500739(29500501:29500739|tsd_l:tsd)-0.7015	29500482	29500671	SINE2-11_OS	29500508	29500628	121	0.6368421052631579	1.0
TP	NC_089035.1	NC_089042.1:64914-65234(64915:65234|tsd_l:tsd)-0.8873	15545401	15545711	SINE2-12_OS	15545398	15545713	311	1.0	0.9841772151898734
TP	NC_089035.1	NC_089038.1:31540647-31540928(31540648:31540928|tsd_l:tsd)-0.8156	22507637	22507846	F524	22507573	22507963	210	1.0	0.5370843989769821
TP	NC_089038.1	NC_089037.1:25503029-25503173(25503030:25503173|tsd_l:16|tsd_s:25503030|tsd_e:25503174)-0.7686	7620306	7620392	SINE2-11_OS	7620307	7620437	86	0.9885057471264368	0.6564885496183206
TP	NC_089037.1	NC_089037.1:25503029-25503173(25503030:25503173|tsd_l:16|tsd_s:25503030|tsd_e:25503174)-0.7686	1533416	1533506	SINE2-11_OS	1533417	1533550	90	0.989010989010989	0.6716417910447762
TP	NC_089037.1	NC_089037.1:25503029-25503173(25503030:25503173|tsd_l:16|tsd_s:25503030|tsd_e:25503174)-0.7686	25503030	25503125	SINE2-11_OS	25503031	25503170	95	0.9895833333333334	0.6785714285714286
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	605198	605250	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1138398	1138450	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1138554	1138606	-	-	-	0	0.0	0.0
