seq_id	genome_copies	matched_copies	match_ratio	top_match_id
SINE2-11_OS	43	5	0.11627906976744186	NC_089037.1:25503029-25503173(25503030:25503173|tsd_l:16|tsd_s:25503030|tsd_e:25503174)-0.7686
CASINE	77	0	0.0	-
SINE1OS	69	0	0.0	-
SINE1R5_OS	79	0	0.0	-
SINE2-3_OS	5	0	0.0	-
F524	110	1	0.00909090909090909	NC_089038.1:31540647-31540928(31540648:31540928|tsd_l:tsd)-0.8156
p-SINE1_OS	45	0	0.0	-
SINE6_OS	9	0	0.0	-
SINE9_OS	42	0	0.0	-
SINE8_OS	2	0	0.0	-
SINE2-12_OS	7	1	0.14285714285714285	NC_089042.1:64914-65234(64915:65234|tsd_l:tsd)-0.8873
OsSN3	76	0	0.0	-
SINE16_OS	16	0	0.0	-
SINE2-4_OS	6	0	0.0	-
SINE2-1_OS	8	0	0.0	-
SINE-12_OS	5	0	0.0	-
SINE2-2_OS	5	0	0.0	-
SINE2-4B_OS	3	0	0.0	-
